x[m],y[m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2],Time [s],Angle [rad],vehicle_id,flw_type,entry,exit,length,width,x_rot,y_rot,lanes
511478.39,5026664.55,59.5828,-0.117,0.021,70.637372,5.8331,332,Car,Gate 101,Gate 102,5,2,23.93616344,72.56462529,1
511478.88,5026664.31,59.575,-0.1181,0.0199,70.670739,5.8331,332,Car,Gate 101,Gate 102,5,2,24.48176875,72.56847797,1
511479.38,5026664.07,59.5675,-0.1135,0.0242,70.704106,5.8331,332,Car,Gate 101,Gate 102,5,2,25.03632341,72.57679263,1
511479.88,5026663.83,59.5605,-0.1112,0.0234,70.737473,5.8331,332,Car,Gate 101,Gate 102,5,2,25.59087806,72.58510729,1
511480.38,5026663.59,59.554,-0.1041,0.022,70.770839,5.8331,332,Car,Gate 101,Gate 102,5,2,26.14543272,72.59342195,1
511480.88,5026663.35,59.5483,-0.098,0.0207,70.804206,5.833,332,Car,Gate 101,Gate 102,5,2,26.69998738,72.60173661,1
511481.37,5026663.11,59.5432,-0.0941,0.0195,70.837573,5.833,332,Car,Gate 101,Gate 102,5,2,27.24559269,72.60558929,1
511481.87,5026662.87,59.5386,-0.0883,0.0237,70.87094,5.8329,332,Car,Gate 101,Gate 102,5,2,27.80014734,72.61390395,1
511482.37,5026662.63,59.5343,-0.0862,0.0224,70.904306,5.8329,332,Car,Gate 101,Gate 102,5,2,28.354702,72.62221861,1
511482.87,5026662.39,59.5304,-0.0821,0.0217,70.937673,5.8328,332,Car,Gate 101,Gate 102,5,2,28.90925666,72.63053327,1
511483.36,5026662.15,59.5268,-0.0792,0.0211,70.97104,5.8328,332,Car,Gate 101,Gate 102,5,2,29.45486197,72.63438595,1
511483.86,5026661.91,59.5234,-0.0767,0.0206,71.004407,5.8327,332,Car,Gate 101,Gate 102,5,2,30.00941662,72.64270061,1
511484.36,5026661.67,59.5203,-0.0718,0.0248,71.037773,5.8327,332,Car,Gate 101,Gate 10 b2,5,2,30.56397128,72.65101527,1
511484.85,5026661.43,59.5176,-0.0688,0.023,71.07114,5.8326,332,Car,Gate 101,Gate 102,5,2,31.10957659,72.65486795,1
511485.35,5026661.19,59.5154,-0.0635,0.0224,71.104507,5.8326,332,Car,Gate 101,Gate 102,5,2,31.66413125,72.66318261,1
511485.84,5026660.95,59.5135,-0.0592,0.0217,71.137873,5.8325,332,Car,Gate 101,Gate 102,5,2,32.20973656,72.66703529,1
511486.34,5026660.71,59.5066,-0.0564,0.0233,71.17124,5.8325,332,Car,Gate 101,Gate 102,5,2,32.76429122,72.67534995,1
